model,params,split,L,nX,nY,nD_AB,S_AB,ratio_AB,gain_AB,c_eff_AB,nD_BA,S_BA,ratio_BA,gain_BA,c_eff_BA,best,gain_best,ratio_best
Heis XXZ,Δ=0.5,even/odd,4,31.391029982831814,62.78205996566362,16.248076809271925,31.39102998283181,0.517602538628335,0.48239746137166495,0.42105263157894735,28.737704783316513,39.23878747853976,0.7323800410253136,0.2676199589746864,0.15384615384615385,AB,0.48239746137166495,0.517602538628335
Heis XXZ,Δ=0.5,even/odd,6,73.92341829327486,90.5247912628497,33.8439966793759,59.59290696234986,0.5679198818201328,0.43208011817986725,0.22535211267605634,43.10018808804557,63.74325020474357,0.6761529722693399,0.3238470277306601,0.15384615384615385,AB,0.43208011817986725,0.5679198818201328
Heis XXZ,Δ=0.5,even/odd,8,108.76092715858053,136.59924697630157,51.38889369083726,88.53027532336566,0.5804668911638894,0.4195331088361106,0.1951219512195122,63.10776753672829,95.48985527779593,0.6608845238390745,0.3391154761609255,0.15384615384615385,AB,0.4195331088361106,0.5804668911638894
Heis XXZ,Δ=0.5,even/odd,10,148.15060480322677,171.3333103922945,70.28502161158654,116.90862999968701,0.6011961786890729,0.39880382131092706,0.18285714285714286,81.59886070944084,122.70430639695394,0.6650040500246573,0.33499594997534266,0.15384615384615385,AB,0.39880382131092706,0.6011961786890729
Heis XXX,Δ=1.0,even/odd,4,55.42562584220407,110.8512516844082,27.71281292110204,55.425625842204084,0.49999999999999994,0.5,0.5,49.95998398718719,69.28203230275511,0.7211102550927977,0.2788897449072023,0.2,AB,0.5,0.49999999999999994
Heis XXX,Δ=1.0,even/odd,6,130.29246153289247,160.2769769857375,60.2989835713473,105.2154750128806,0.5730999509717124,0.4269000490282876,0.2857142857142857,78.31248286210098,112.71160387609186,0.6948040855508796,0.3051959144491204,0.2,AB,0.4269000490282876,0.5730999509717124
Heis XXX,Δ=1.0,even/odd,8,191.4026298126754,241.34221421828272,91.65319901471605,156.03686846090838,0.5873816868971435,0.41261831310285646,0.25,115.04947795438166,168.5217645623102,0.6826980375691628,0.3173019624308372,0.2,AB,0.41261831310285646,0.5873816868971435
Heis XXX,Δ=1.0,even/odd,10,261.0104539398109,303.329954817223,126.5950538140638,206.33771567421118,0.6135332719004513,0.38646672809954874,0.23529411764705882,148.15236458949573,216.9175908935642,0.6829891664350551,0.31701083356494486,0.2,AB,0.38646672809954874,0.6135332719004513
Heis XXZ,Δ=2.0,even/odd,4,125.56411993132726,251.12823986265448,64.99230723708766,125.56411993132724,0.5176025386283347,0.4823974613716653,0.42105263157894735,114.95081913326604,156.95514991415905,0.7323800410253135,0.2676199589746865,0.15384615384615385,AB,0.4823974613716653,0.5176025386283347
Heis XXZ,Δ=2.0,even/odd,6,295.3209891880165,361.300492538396,134.8456216651421,237.98561772860722,0.5666124825194967,0.4333875174805033,0.22535211267605634,171.60158136438017,254.4804935662021,0.674321158999712,0.325678841000288,0.15384615384615385,AB,0.4333875174805033,0.5666124825194967
